Seed: 8003 	Score: 231.803314 	Run time: 19.998232
Seed: 8004 	Score: 2987.010945 	Run time: 20.140333
Seed: 8005 	Score: 523.701758 	Run time: 19.910434
Seed: 8006 	Score: 956.667962 	Run time: 0.000000
Seed: 8007 	Score: 441.372371 	Run time: 0.000000
Seed: 8008 	Score: 260.162176 	Run time: 20.035532
Seed: 8009 	Score: 156.149270 	Run time: 19.990228
Seed: 8010 	Score: 1059.376831 	Run time: 20.197071
Seed: 8011 	Score: 75.624522 	Run time: 19.845124
Seed: 8012 	Score: 549.817485 	Run time: 19.916465
Seed: 8013 	Score: 634.264362 	Run time: 19.981368
Seed: 8014 	Score: 62.516335 	Run time: 19.965907
Seed: 8015 	Score: 138.428074 	Run time: 19.979239
Seed: 8016 	Score: 35.284151 	Run time: 19.841120
Seed: 8017 	Score: 2016.598503 	Run time: 20.054013
Seed: 8018 	Score: 26.174709 	Run time: 19.839767
Seed: 8019 	Score: 787.590642 	Run time: 20.101129
Seed: 8020 	Score: 137.736003 	Run time: 19.994405
Seed: 8021 	Score: 62.233465 	Run time: 19.833116
Seed: 8022 	Score: 203.323312 	Run time: 19.927229
Seed: 8023 	Score: 35.854837 	Run time: 19.833669
Seed: 8024 	Score: 519.341635 	Run time: 19.978389
Seed: 8025 	Score: 66.294137 	Run time: 19.837137
Seed: 8026 	Score: 187.055981 	Run time: 19.930088
Seed: 8027 	Score: 118.587770 	Run time: 19.842408
Seed: 8028 	Score: 550.110958 	Run time: 20.178360
Seed: 8029 	Score: 46.906335 	Run time: 19.848124
Seed: 8030 	Score: 56.227967 	Run time: 19.836553
Seed: 8031 	Score: 450.598727 	Run time: 0.000000
Seed: 8032 	Score: 175.615254 	Run time: 19.914191
Seed: 8033 	Score: 3.922110 	Run time: 19.856130
Seed: 8034 	Score: 163.937682 	Run time: 19.894531
Seed: 8035 	Score: 287.603614 	Run time: 19.897142
Seed: 8036 	Score: 1211.670572 	Run time: 19.990169
Seed: 8037 	Score: 195.089086 	Run time: 20.101183
Seed: 8038 	Score: 153.489253 	Run time: 20.023913
Seed: 8039 	Score: 161.409670 	Run time: 19.853045
Seed: 8040 	Score: 214.838801 	Run time: 20.104787
Seed: 8041 	Score: 1294.976929 	Run time: 20.019247
Seed: 8042 	Score: 305.205837 	Run time: 20.092488
Seed: 8043 	Score: 1467.751400 	Run time: 20.023300
Seed: 8044 	Score: 12.274659 	Run time: 19.836115
Seed: 8045 	Score: 1738.264004 	Run time: 20.140862
Seed: 8046 	Score: 224.883698 	Run time: 20.346673
Seed: 8047 	Score: 1101.038678 	Run time: 19.931110
Seed: 8048 	Score: 274.421713 	Run time: 19.953655
Seed: 8049 	Score: 108.569548 	Run time: 19.866217
Seed: 8050 	Score: 39.019233 	Run time: 19.857132
Seed: 8051 	Score: 104.213445 	Run time: 19.983624
Seed: 8052 	Score: 1174.369189 	Run time: 20.069281
Seed: 8053 	Score: 59.060635 	Run time: 20.073842
Seed: 8054 	Score: 479.837426 	Run time: 19.876078
Seed: 8055 	Score: 5.830774 	Run time: 19.892138
Seed: 8056 	Score: 40.947814 	Run time: 19.869049
Seed: 8057 	Score: 19.911413 	Run time: 20.046216
Seed: 8058 	Score: 485.830464 	Run time: 19.895161
Seed: 8059 	Score: 937.686834 	Run time: 19.976322
Seed: 8060 	Score: 2.828561 	Run time: 19.834753
Seed: 8061 	Score: 5.376752 	Run time: 19.836116
Seed: 8062 	Score: 560.747677 	Run time: 19.935192
Seed: 8063 	Score: 9.147532 	Run time: 19.835194
Seed: 8064 	Score: 279.220628 	Run time: 19.865835
Seed: 8065 	Score: 100.596480 	Run time: 19.942402
Seed: 8066 	Score: 644.091434 	Run time: 19.972636
Seed: 8067 	Score: 1125.352588 	Run time: 19.959569
Seed: 8068 	Score: 494.048342 	Run time: 19.966463
Seed: 8069 	Score: 4.536974 	Run time: 19.835117
Seed: 8070 	Score: 2910.664912 	Run time: 20.176479
Seed: 8071 	Score: 172.782598 	Run time: 19.886427
Seed: 8072 	Score: 457.140816 	Run time: 20.029823
Seed: 8073 	Score: 659.389884 	Run time: 19.898857
Seed: 8074 	Score: 233.537267 	Run time: 19.891943
Seed: 8075 	Score: 562.169880 	Run time: 20.010416
Seed: 8076 	Score: 666.896719 	Run time: 20.001234
Seed: 8077 	Score: 16.740180 	Run time: 19.850643
Seed: 8078 	Score: 98.740857 	Run time: 19.923741
Seed: 8079 	Score: 208.318279 	Run time: 19.948801
Seed: 8080 	Score: 669.251747 	Run time: 19.940404
Seed: 8081 	Score: 870.481897 	Run time: 19.943569
Seed: 8082 	Score: 1003.968215 	Run time: 20.097357
Seed: 8083 	Score: 8.646495 	Run time: 20.181339
Seed: 8084 	Score: 2369.677321 	Run time: 20.190109
Seed: 8085 	Score: 159.313254 	Run time: 19.942109
Seed: 8086 	Score: 73.616302 	Run time: 19.833114
Seed: 8087 	Score: 133.378954 	Run time: 19.976550
Seed: 8088 	Score: 668.518678 	Run time: 19.898206
Seed: 8089 	Score: 2.867110 	Run time: 19.832047
Seed: 8090 	Score: 568.895634 	Run time: 19.944193
Seed: 8091 	Score: 63.211876 	Run time: 19.835640
Seed: 8092 	Score: 87.086850 	Run time: 19.842672
Seed: 8093 	Score: 137.453500 	Run time: 19.857442
Seed: 8094 	Score: 2134.005426 	Run time: 20.067042
Seed: 8095 	Score: 111.111424 	Run time: 20.047409
Seed: 8096 	Score: 597.611079 	Run time: 20.227539
Seed: 8097 	Score: 1223.031512 	Run time: 19.993580
Seed: 8098 	Score: 516.243823 	Run time: 19.906485
Seed: 8099 	Score: 1669.133454 	Run time: 20.063281
Seed: 8100 	Score: 280.553535 	Run time: 19.870151
